Mod,Category,Installation,Type,Tested,Target MC,Server Status,Server File,Client Package,Last Tested,Resolved Source,URL,DB Notes
Elytra Physics,Test New Mods,Client,Mod,OK,26.1.2,Client-only: included,client-package/mods/elytra_physics-neoforge-2.6_mc26.1.jar,Included,2026-06-03,CurseForge stable release file 8114891,https://www.curseforge.com/minecraft/mc-mods/elytra-physics/files/all?page=1&pageSize=20&gameVersionTypeId=6,"Client-only NeoForge mod, not installed on the server."
Enchantment Descriptions,Test New Mods,Client,Client Mod,OK,26.1.2,Client-only: included,client-package/mods/EnchantmentDescriptions-neoforge-MC26.1.2-26.1.2.2.jar,Included,2026-06-03,CurseForge stable release file 8188967,https://www.curseforge.com/minecraft/mc-mods/enchantment-descriptions,Added 2026-06-03.
Golden Apple Tree,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,Golden_Apple_Tree-1.2.6-26.1.2-NeoForge.jar,Included,2026-06-03,CurseForge stable release file 7972475,https://www.curseforge.com/minecraft/mc-mods/golden-apple-tree/files/all?page=1&pageSize=20&gameVersionTypeId=6,Boot test row137_golden_apple_tree reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines.
Guard Villagers,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,guardvillagers-3.0.2-26.1.0.jar,Included,2026-06-03,CurseForge stable release file 8112011,https://www.curseforge.com/minecraft/mc-mods/guard-villagers/files/all?page=1&pageSize=20&gameVersionTypeId=6,Boot test row139_guard_villagers reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines.
Guns ++,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,guns++-5.9.5.jar,Included,2026-06-03,CurseForge stable release file 7809034,https://www.curseforge.com/minecraft/mc-mods/guns-plusplus/files/all?page=1&pageSize=20&gameVersionTypeId=6,Stable 26.1 NeoForge file tested successfully on 26.1.2.
Hopo Better Underwater Ruins,Test New Mods,Server,Mod,OK,26.1.2,OK,HopoBetterUnderwaterRuins-[26.1]-1.2.7.jar,Not required (server-only),2026-06-03,CurseForge stable release file 7845611,https://www.curseforge.com/minecraft/mc-mods/hopo-better-underwater-ruins/files/all?page=1&pageSize=20&gameVersionTypeId=6,Stable 26.1 Server-only NeoForge file tested successfully on 26.1.2.
Human Era: Vanilla Military X Fresh Animations,Test New Mods,Client,Resource Pack,OK,26.1.2,Client-only: included,client-package/resourcepacks/HumanEraVanillaMilitary[4.6].zip,Included,2026-06-03,CurseForge stable release file 7443043,https://www.curseforge.com/minecraft/texture-packs/human-era-vanilla-military/files/all?page=1&pageSize=20,"Client-only resource pack, not installed on the server."
Human Era: Villagers & Illagers X Fresh Animations,Test New Mods,Client,Resource Pack,OK,26.1.2,Client-only: included,client-package/resourcepacks/HumanEraVillagersIllagers[3.91.2].zip,Included,2026-06-03,CurseForge stable release file 7841198,https://www.curseforge.com/minecraft/texture-packs/human-era-villagers-illagers/files/all?page=1&pageSize=20,"Client-only resource pack, not installed on the server."
Hunter'sReturn,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,hunters_return-26.1.2-31.1.0.jar,Included,2026-06-03,CurseForge stable release file 8139580; uses existing Bagus Lib dependency,https://www.curseforge.com/minecraft/mc-mods/huntersreturn/files/all?page=1&pageSize=20&gameVersionTypeId=6,Boot test row147_hunters_return reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines.
Illager Warship,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,illagerwarship-1.0.0 Neoforge 26.1.2.jar,Included,2026-06-03,CurseForge stable release file 7931473,https://www.curseforge.com/minecraft/mc-mods/illager-warship/files/all?page=1&pageSize=20&gameVersionTypeId=6,Boot test row149_illager_warship reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines.
Infinite Trading,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,infinitetrading-26.1.2-5.0.jar + collective-26.1.2-8.22.jar,Included,2026-06-03,CurseForge stable release file 8020696; dependency Collective 8021353,https://www.curseforge.com/minecraft/mc-mods/infinite-trading/files/all?page=1&pageSize=20&gameVersionTypeId=6,Boot test row154_infinite_trading reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines.
Jagm's Kiwis,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,jagmkiwis-neoforge-26.1-1.2.4.jar,Included,2026-06-03,CurseForge stable release file 7858458,https://www.curseforge.com/minecraft/mc-mods/jagms-kiwis/files/all?page=1&pageSize=20&gameVersionTypeId=6,Stable 26.1 NeoForge file is tagged compatible with 26.1.2.
Large Ore Deposits,Test New Mods,Server,Mod,OK,26.1.2,OK,adlods-26.1.0.0-neoforge-26.1.2-build.0046.jar,Not required (server-only),2026-06-03,CurseForge stable release file 7910085; uses existing ForgeEndertech dependency,https://www.curseforge.com/minecraft/mc-mods/large-ore-deposits/files/all?page=1&pageSize=20&gameVersionTypeId=6,Boot test row167_large_ore_deposits reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines.
LaserIO,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,laserio-1.10.2.jar,Included,2026-06-03,CurseForge stable release file 8030110,https://www.curseforge.com/minecraft/mc-mods/laserio/files/all?page=1&pageSize=20&gameVersionTypeId=6,Boot test row169_laserio reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines.
Lio's Hobbit Hill Village,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,hobbit_hill_village-0.0.4.jar,Included,2026-06-03,CurseForge stable release file 7814267,https://www.curseforge.com/minecraft/mc-mods/hobbit-hill-village/files/all?page=1&pageSize=20&gameVersionTypeId=6,Boot test row170_hobbit_hill reached Done and stopped cleanly.
Lio's Overhauled Villages,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,lios_overhauled_villages-0.1.1.jar,Included,2026-06-03,CurseForge stable release file 7814363,https://www.curseforge.com/minecraft/mc-mods/lios-overhauled-villages/files/all?page=1&pageSize=20&gameVersionTypeId=6,Boot test row171_lios_overhauled reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines.
Lio's Spiral Tower Villages,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,spiral_tower_village-0.0.3.jar,Included,2026-06-03,CurseForge stable release file 7814289,https://www.curseforge.com/minecraft/mc-mods/spiral-tower-villages/files/all?page=1&pageSize=20&gameVersionTypeId=6,Boot test row172_spiral_tower reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines.
Lios Seafaring Dungeons,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,lios_seafaring_dungeons-0.0.6.jar,Included,2026-06-03,CurseForge stable release file 7814016,https://www.curseforge.com/minecraft/mc-mods/lios-seafaring-dungeons/files/all?page=1&pageSize=20&gameVersionTypeId=6,Boot test row173_lios_seafaring reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines.
Macaw's Bridges,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,mcw-bridges-3.1.2-mc26.1neoforge.jar,Included,2026-06-03,CurseForge stable release file 7809923,https://www.curseforge.com/minecraft/mc-mods/macaws-bridges/files/all?page=1&pageSize=20&gameVersionTypeId=6,Retested latest compatible release on 2026-06-03.
Macaw's Doors,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,mcw-doors-1.1.5-mc26.1neoforge.jar,Included,2026-06-03,CurseForge stable release file 7809925,https://www.curseforge.com/minecraft/mc-mods/macaws-doors,Added 2026-06-03.
Macaw's Fences and Walls,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,mcw-fences-1.2.1-mc26.1neoforge.jar,Included,2026-06-03,CurseForge stable release file 7809939,https://www.curseforge.com/minecraft/mc-mods/macaws-fences-and-walls/files/all?page=1&pageSize=20&gameVersionTypeId=6,Retested latest compatible release on 2026-06-03.
Macaw's Furniture,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,mcw-furniture-3.4.2-mc26.1neoforge.jar,Included,2026-06-03,CurseForge stable release file 7809936,https://www.curseforge.com/minecraft/mc-mods/macaws-furniture/files/all?page=1&pageSize=20&gameVersionTypeId=6,Boot test row182_macaws_furniture reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines.
Macaw's Lights and Lamps,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,mcw-lights-1.1.5-mc26.1neoforge.jar,Included,2026-06-03,CurseForge stable release file 7809968,https://www.curseforge.com/minecraft/mc-mods/macaws-lights-and-lamps/files/all?page=1&pageSize=20&gameVersionTypeId=6,Boot test row183_macaws_lights reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines.
Macaw's Roofs,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,mcw-roofs-2.3.2-mc26.1neoforge.jar,Included,2026-06-03,CurseForge stable release file 7809972,https://www.curseforge.com/minecraft/mc-mods/macaws-roofs/files/all?page=1&pageSize=20&gameVersionTypeId=6,Boot test row184_macaws_roofs passed previously.
Macaw's Stairs,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,mcw-stairs-1.0.2-mc26.1neoforge.jar,Included,2026-06-03,CurseForge stable release file 7809966,https://www.curseforge.com/minecraft/mc-mods/macaws-stairs/files/all?page=1&pageSize=20&gameVersionTypeId=6,Boot test row185_macaws_stairs reached Done and stopped cleanly.
Macaw's Trapdoors,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,mcw-trapdoors-1.1.5-mc26.1neoforge.jar,Included,2026-06-03,CurseForge stable release file 7809970,https://www.curseforge.com/minecraft/mc-mods/macaws-trapdoors,Added 2026-06-03.
Macaw's Windows,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,mcw-windows-2.4.2-mc26.1neoforge.jar,Included,2026-06-03,CurseForge stable release file 7809964,https://www.curseforge.com/minecraft/mc-mods/macaws-windows/files/all?page=1&pageSize=20&gameVersionTypeId=6,Boot test row186_macaws_windows passed previously. Duplicate rows collapsed into this clean view: original sheet rows 187.
Maple,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7972409,https://www.curseforge.com/minecraft/mc-mods/maple,"TerraBlender fixed the previous missing-class crash, but row190_maple_relaxed logged missing tags, invalid recipes/advancements, and legacy Forge global_loot_modifiers parse errors."
Miner's Helmet,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,mining_helmet-26.1.2-2.1.3.jar,Included,2026-06-03,CurseForge stable release file 8024587; Lucent relation type 2 treated as optional after boot test,https://www.curseforge.com/minecraft/mc-mods/miners-helmet/files/all?page=1&pageSize=20&gameVersionTypeId=6,Recovered in broad relaxed scan. Duplicate rows collapsed into this clean view: original sheet rows 196.
MMV - Moog's Missing Villages,Test New Mods,Server Only,Mod,OK,26.1.2,OK,MoogsMissingVillages-1.21-2.1.1.jar + moogs_structure_lib-2.0.1-26.1.0-26.1.2.jar,Server-only,2026-06-03,CurseForge stable release file 8164652; dependency Moog's Structure Lib 7921038,https://www.curseforge.com/minecraft/mc-mods/mmv-moogs-missing-villages/files/all?page=1&pageSize=20&gameVersionTypeId=6,Initial boot failed because mmv requires moogs_structures.
More Villagers,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,morevillagers-neoforge-8.0.0+26.1.1.jar,Included,2026-06-03,CurseForge stable release file 7885143,https://www.curseforge.com/minecraft/mc-mods/more-villagers/files/all?page=1&pageSize=20&gameVersionTypeId=6,Boot test row203_more_villagers reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines plus unrelated external handshake noise.
Move Boats,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,moveboats-26.1.2-3.6.jar,Included,2026-06-03,CurseForge stable release file 7902047; existing Collective 8021353,https://www.curseforge.com/minecraft/mc-mods/move-boats/files/all?page=1&pageSize=20&gameVersionTypeId=6,Boot test row204_move_boats reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines.
Move Minecarts,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,moveminecarts-26.1.2-3.8.jar,Included,2026-06-03,CurseForge stable release file 7902044; existing Collective 8021353,https://www.curseforge.com/minecraft/mc-mods/move-minecarts/files/all?page=1&pageSize=20&gameVersionTypeId=6,Boot test row205_move_minecarts reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines.
MrCrayfish's Furniture Mod: Refurbished,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,refurbished_furniture-neoforge-26.1.2-1.0.23.jar + catalogue-neoforge-26.1.2-1.12.3.jar + configured-neoforge-26.1.2-2.7.5.jar,Included,2026-06-03,CurseForge stable release file 7943178; dependencies Catalogue 7943161 and Configured 7943180; existing Framework 7964506,https://www.curseforge.com/minecraft/mc-mods/refurbished-furniture/files/all?page=1&pageSize=20&gameVersionTypeId=6,Boot test row206_refurbished_furniture reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines. Duplicate rows collapsed into this clean view: original sheet rows 207.
MVS - Moog's Voyager Structures,Test New Mods,Server Only,Mod,OK,26.1.2,OK,MoogsVoyagerStructures-1.21-5.0.11.jar + existing moogs_structure_lib-2.0.1-26.1.0-26.1.2.jar,Server-only,2026-06-03,CurseForge stable release file 8128022; existing dependency Moog's Structure Lib 7921038,https://www.curseforge.com/minecraft/mc-mods/moogs-voyager-structures/files/all?page=1&pageSize=20&gameVersionTypeId=6,Boot test row208_mvs reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines. Duplicate rows collapsed into this clean view: original sheet rows 209.
New Cherry Blossom Panorama BC,Test New Mods,Client Only,Client Mod,OK,26.1.2,Client-only: included,new-1.20-background-v1.1.jar,Included,2026-06-03,CurseForge stable release file 7023654,https://www.curseforge.com/minecraft/mc-mods/new-cherry-blossom-panorama-mod/files/all?page=1&pageSize=20&gameVersionTypeId=6,Client-only panorama/background mod.
No Animal Tempt Delay,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,noanimaltemptdelay-26.1.2-1.2.jar,Included,2026-06-03,CurseForge stable release file 7902021; existing Collective 8021353,https://www.curseforge.com/minecraft/mc-mods/no-animal-tempt-delay/files/all?page=1&pageSize=20&gameVersionTypeId=6,Boot test row214_no_animal_tempt_delay reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines.
Nutritious Milk,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,nutritiousmilk-26.1.2-3.5.jar,Included,2026-06-03,CurseForge stable release file 7902004; existing Collective 8021353,https://www.curseforge.com/minecraft/mc-mods/nutritious-milk/files/all?page=1&pageSize=20&gameVersionTypeId=6,Boot test row216_nutritious_milk reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines.
Ore Harvester,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,oreharvester-26.1.2-1.6.jar,Included,2026-06-03,CurseForge stable release file 8023281; existing Collective 8021353,https://www.curseforge.com/minecraft/mc-mods/ore-harvester/files/all?page=1&pageSize=20&gameVersionTypeId=6,Boot test row219_ore_harvester reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines plus non-fatal Lithostitched worldgen warnings. Duplicate rows collapsed into this clean view: original sheet rows 220.
Pretty Beaches,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,prettybeaches-neoforge-26.1-26.1.0.1.jar; balm-neoforge-26.1.2-26.1.2.6.jar,Included,2026-06-03,CurseForge stable release file 7806619; Balm dependency file 8056289,https://www.curseforge.com/minecraft/mc-mods/pretty-beaches/files/all?page=1&pageSize=20&gameVersionTypeId=6,Initial boot failed because Pretty Beaches required Balm.
Prickle,Test New Mods,Client,Dependency,OK,26.1.2,Client dependency: included,client-package/mods/PrickleMC-neoforge-MC26.1.2-26.1.2.3.jar,Included,2026-06-03,CurseForge stable release file 8141123,https://www.curseforge.com/minecraft/mc-mods/prickle,Added automatically 2026-06-03 as the required dependency for Enchantment Descriptions; client package only.
PTS-Deco,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,PTS-Deco-8.0-NeoForge26.1.2.jar,Included,2026-06-03,CurseForge stable release file 8161101,https://www.curseforge.com/minecraft/mc-mods/pts-deco/files/all?page=1&pageSize=20&gameVersionTypeId=6,Boot test row225_pts_deco reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines plus non-fatal Lithostitched worldgen warnings.
Random Bone Meal Flowers,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,randombonemealflowers-26.1.2-4.7.jar,Included,2026-06-03,CurseForge stable release file 7901941; existing Collective 8021353,https://www.curseforge.com/minecraft/mc-mods/random-bone-meal-flowers/files/all?page=1&pageSize=20&gameVersionTypeId=6,Boot test row227_random_bone_meal_flowers reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines.
Recast,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,recast-26.1.2-3.7.jar,Included,2026-06-03,CurseForge stable release file 7901929; existing Collective 8021353,https://www.curseforge.com/minecraft/mc-mods/recast/files/all?page=1&pageSize=20&gameVersionTypeId=6,Boot test row229_recast reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines.
Repurposed Structures,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,repurposed_structures-7.7.4+26.1-neoforge.jar,Included,2026-06-03,CurseForge stable release file 7971701,https://www.curseforge.com/minecraft/mc-mods/repurposed-structures,Added 2026-06-03 as the base Repurposed Structures mod.
RevampedWolf,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,revampedwolf-26.1.2-25.0.0.jar,Included,2026-06-03,CurseForge stable release file 7906641,https://www.curseforge.com/minecraft/mc-mods/revampedwolf/files/all?page=1&pageSize=20&gameVersionTypeId=6,Boot test row235_revampedwolf reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines.
Ruins (Structure Spawning System),Test New Mods,Server & Client,Mod,OK,26.1.2,OK,ruins-26.1.2.2NF.jar,Included,2026-06-03,CurseForge stable release file 8102441,https://www.curseforge.com/minecraft/mc-mods/ruins-structure-spawning-system/files/all?page=1&pageSize=20&gameVersionTypeId=6,Boot test row242_ruins reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines.
Skeleton Horse Spawn,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,skeletonhorsespawn-26.1.2-4.1.jar,Included,2026-06-03,CurseForge stable release file 7901860; existing Collective 8021353,https://www.curseforge.com/minecraft/mc-mods/skeleton-horse-spawn/files/all?page=1&pageSize=20&gameVersionTypeId=6,Boot test row250_skeleton_horse_spawn reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines.
Snowy Biomes: Enhanced,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,better-snowy-biome-2.5.1-26.1.jar,Included,2026-06-03,CurseForge stable release file 7995368,https://www.curseforge.com/minecraft/mc-mods/better-snowy-biomes/files/all?page=1&pageSize=20&gameVersionTypeId=6,Boot test row255_snowy_biomes_enhanced reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines.
Snowy Tents,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,snowy_tents-1.0.0-Neoforge-26.1.2.jar,Included,2026-06-03,CurseForge stable release file 8101368,https://www.curseforge.com/minecraft/mc-mods/snowy-tents/files/all?page=1&pageSize=20&gameVersionTypeId=6,Boot test row256_snowy_tents reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines.
Solar Cooker,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,solarcooker-neoforge-26.1.1-5.0.0.1.jar,Included,2026-06-03,CurseForge stable release file 7914168,https://www.curseforge.com/minecraft/mc-mods/solar-cooker/files/all?page=1&pageSize=20&gameVersionTypeId=6,Boot test row258_solar_cooker reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines.
Sound Physics Remastered,Test New Mods,Client,Client Mod,OK,26.1.2,Client-only: included,client-package/mods/sound-physics-remastered-neoforge-1.5.1+26.1.2.jar,Included,2026-06-03,CurseForge beta file 7903186,https://www.curseforge.com/minecraft/mc-mods/sound-physics-remastered,Added 2026-06-03 to Mac client package only; not installed on the dedicated server.
Stray Spawn,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,strayspawn-26.1.2-3.7.jar,Included,2026-06-03,CurseForge stable release file 7901825; existing Collective 8021353,https://www.curseforge.com/minecraft/mc-mods/stray-spawn/files/all?page=1&pageSize=20&gameVersionTypeId=6,Boot test row262_stray_spawn reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines.
Structory: Towers,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,Structory_Towers_26.1_v1.0.16.jar,Included,2026-06-03,CurseForge stable release file 7842394,https://www.curseforge.com/minecraft/mc-mods/structory-towers/files/all?page=1&pageSize=20&gameVersionTypeId=6,Boot test row263_structory_towers reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines.
The Lost Castle,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,tlc-neoforge-26.1-2.1.1.jar,Included,2026-06-03,CurseForge stable release file 8066461,https://www.curseforge.com/minecraft/mc-mods/the-lost-castle/files/all?page=1&pageSize=20&gameVersionTypeId=6,Accepted after fresh-world relaxed retest row273_lostcastle_relaxed reached Done with no Lost Castle-specific filtered errors/warnings.
Towns and Towers,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,t_and_t-fabric-neoforge-1.13.11.jar; cristellib-neoforge-26.1.2-3.1.4.jar,Included,2026-06-03,CurseForge stable release file 7886369; Cristel Lib dependency file 8114432,https://www.curseforge.com/minecraft/mc-mods/towns-and-towers/files/all?page=1&pageSize=20&gameVersionTypeId=6,Initial boot failed because Towns and Towers required Cristel Lib 3.1.3+. Duplicate rows collapsed into this clean view: original sheet rows 282.
Tree Seeds,Test New Mods,Client Only,Resource Pack,OK,26.1,Client-only: included,client-package/resourcepacks/TreeSeeds-v26.1.zip,Included,2026-06-03,CurseForge stable resource-pack file 7825016,https://www.curseforge.com/minecraft/texture-packs/tree-seeds/files/all?page=1&pageSize=20,"Texture/resource pack, not installed on the server."
Tropicraft,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,Tropicraft-9.10.0.jar,Included,2026-06-03,CurseForge stable release file 7951705,https://www.curseforge.com/minecraft/mc-mods/tropicraft/files/all?page=1&pageSize=20&gameVersionTypeId=6,Boot test row285_tropicraft reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines.
Ultimate Car Mod,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,car-neoforge-1.0.49+26.1.2.jar,Included,2026-06-03,CurseForge beta release file 7970765; relation type 2 integrations not installed,https://www.curseforge.com/minecraft/mc-mods/ultimate-car-mod/files/all?page=1&pageSize=20&gameVersionTypeId=6,Recovered in broad relaxed scan under beta policy.
Underground Rivers,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,underground-rivers-1.0.2-neoforge-26.1.jar,Included,2026-06-03,CurseForge stable release file 7843919,https://www.curseforge.com/minecraft/mc-mods/underground-rivers/files/all?page=1&pageSize=20&gameVersionTypeId=6,Boot test row291_underground_rivers reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines.
Underwater Village - Oceanic Structures,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,underwater_village-1.0.0-Neoforge-26.1.2.jar,Included,2026-06-03,CurseForge stable release file 7952425,https://www.curseforge.com/minecraft/mc-mods/underwater-village/files/all?page=1&pageSize=20&gameVersionTypeId=6,Boot test row294_underwater_village reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines.
Untitled Duck Mod,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,untitledduckmod-neoforge-26.1.2-1.5.6.jar,Included,2026-06-03,CurseForge stable release file 8062452,https://www.curseforge.com/minecraft/mc-mods/untitled-duck-mod-forge/files/all?page=1&pageSize=20&gameVersionTypeId=6,Boot test row298_untitled_duck reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines.
Variants&Ventures,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,variantsandventures-neoforge-1.0.25+mc26.1.2.jar,Included,2026-06-03,CurseForge stable release file 8153217,https://www.curseforge.com/minecraft/mc-mods/variants-and-ventures/files/all?page=1&pageSize=20,Boot test row304_variants_ventures reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines.
Villager Guards,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,villager-guards-v1.15.jar,Included,2026-06-03,CurseForge stable release file 7145855,https://www.curseforge.com/minecraft/mc-mods/villager-guards/files/all?page=1&pageSize=20&gameVersionTypeId=6,Boot test row305_villager_guards reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines.
VillagerConfig,Test New Mods,Server & Client,Mod,OK,26.1.2,OK,villagerconfig-neoforge-4.5.6+26.1.2-all.jar,Included,2026-06-03,CurseForge stable release file 8078959,https://www.curseforge.com/minecraft/mc-mods/villagerconfig/files/all?page=1&pageSize=20&gameVersionTypeId=6,Boot test row306_villagerconfig reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines.
Advanced Chimneys,World Mods,Server & Client,Mod,OK,26.1.2,OK,adchimneys-26.1.0.0-neoforge-26.1.2-build.0046.jar,Included,2026-06-03,CurseForge stable release file 7910107,https://www.curseforge.com/minecraft/mc-mods/advanced-chimneys/files/all?page=1&pageSize=20&gameVersionTypeId=6,Installed with ForgeEndertech dependency.
Ambient Environment,World Mods,Server & Client,Mod,OK,26.1.2,OK,AmbientEnvironment-neoforge-26.1.2-26.1.2.1.jar,Included,2026-06-03,CurseForge stable release file 7911750,https://www.curseforge.com/minecraft/mc-mods/ambient-environment/files/all?page=1&pageSize=20&gameVersionTypeId=6,Boot test row48_ambient_environment reached Done and stopped cleanly.
Bagus Lib,World Mods,Server & Client,API,OK,26.1.2,OK,bagus_lib-26.1.2-26.2.0.jar,Included,2026-06-03,CurseForge stable release file 7959019,https://www.curseforge.com/minecraft/mc-mods/bagus-lib/files/all?page=1&pageSize=20&gameVersionTypeId=6,Boot test row52_bagus_lib reached Done and stopped cleanly.
Biomes O' Plenty,World Mods,Server & Client,Mod,OK,26.1.2,OK,BiomesOPlenty-neoforge-26.1.2-26.1.2.0.13.jar,Included,2026-06-03,CurseForge stable release file 8173269; beta dependencies GlitchCore 8109770 and TerraBlender rg59ugAw,https://www.curseforge.com/minecraft/mc-mods/biomes-o-plenty/files/all?page=1&pageSize=20&gameVersionTypeId=6,Accepted under relaxed beta dependency policy and already active.
Buried Wrecks,World Mods,Server & Client,Mod,OK,26.1.2,OK,BuriedWrecks-26.1.2-13.0.0.jar,Included,2026-06-03,CurseForge beta release file 7951433,https://www.curseforge.com/minecraft/mc-mods/buriedwrecks/files/all?page=1&pageSize=20&gameVersionTypeId=6,Accepted under relaxed beta policy.
Bushy Crops,World Mods,Client,Resource Pack,OK,26.1.2,Client-only: included,client-package/resourcepacks/bushy-crops-2.0.zip,Included,2026-06-03,CurseForge stable release file 7886372,https://www.curseforge.com/minecraft/texture-packs/bushy-crops/files/all?page=1&pageSize=20,"Client-only resource pack, not installed on the server."
CherryVillage,World Mods,Server & Client,Mod,OK,26.1.2,OK,cherry_village-1.0.0-26.1-NeoForge.jar,Included,2026-06-03,CurseForge stable release file 7827250,https://www.curseforge.com/minecraft/mc-mods/cherryvillage/files/all?page=1&pageSize=20&gameVersionTypeId=6,Stable 26.1 NeoForge file is tagged compatible with 26.1.2.
Cinch's Abandoned Houses,World Mods,Server & Client,Mod,OK,26.1.2,OK,cinchsabandonedhouses[NeoForge-1.21.x-26.1.x]-2.0.jar,Not required (server-only),2026-06-03,CurseForge stable release file 8034846,https://www.curseforge.com/minecraft/mc-mods/cinchs-abandoned-houses/files/all?page=1&pageSize=20&gameVersionTypeId=6,Boot test row60_cinchs_abandoned_houses reached Done and stopped cleanly.
Cinch's Villager Statues,World Mods,Server & Client,Mod,OK,26.1.2,OK,cinchsvillagerstatues-[NeoForge-1.21.x-26.1.x]-3.5.jar,Not required (server-only),2026-06-03,CurseForge stable release file 8066654,https://www.curseforge.com/minecraft/mc-mods/cinchs-villager-statues/files/all?page=1&pageSize=20&gameVersionTypeId=6,Boot test row61_cinchs_villager_statues reached Done and stopped cleanly.
