Mod,Installation,Type,Tested, Notes 1,Notes 2,URL,Target MC,Server Status,Server File,Client Package,Last Tested,Resolved Source,Migration Notes
Iron Chests,Server & Client,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/iron-chests/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge search returned no stable 26.1.2/26.1 NeoForge file,Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
Jagm's Kiwis,Server & Client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/jagms-kiwis/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,jagmkiwis-neoforge-26.1-1.2.4.jar,Included,2026-06-03,CurseForge stable release file 7858458,"Stable 26.1 NeoForge file is tagged compatible with 26.1.2. Boot test row158_jagms_kiwis reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines. No server-only display policy found, so copied to client package."
Johannes's Renaissance - Musket Rebirth,Server & Client,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/johanness-renaissance-rebirth/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge search returned no stable 26.1.2/26.1 NeoForge file,Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
Just Enough Guns,Server & Client,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/just-enough-guns/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge search returned no stable 26.1.2/26.1 NeoForge file,Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
K-Turrets,Server & Client,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/k-turrets/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge search returned no stable 26.1.2/26.1 NeoForge file,Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
Kobolds!,Server & Client,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/kobolds/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge search returned no stable 26.1.2/26.1 NeoForge file,Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
L's Illager Trader,Server & Client,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/illager-trader/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge search returned no stable 26.1.2/26.1 NeoForge file,Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
L's Ocean Trader,Server & Client,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/ocean-villager-trader/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge search returned no stable 26.1.2/26.1 NeoForge file,Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
L's Spooky Music Trader,Server & Client,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/spooky-music-trader/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge search returned no stable 26.1.2/26.1 NeoForge file,Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
Landmines,Server & Client,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/landmines/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge search returned no stable 26.1.2/26.1 NeoForge file,Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
Large Ore Deposits,Server,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/large-ore-deposits/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,adlods-26.1.0.0-neoforge-26.1.2-build.0046.jar,Not required (server-only),2026-06-03,CurseForge stable release file 7910085; uses existing ForgeEndertech dependency,"Boot test row167_large_ore_deposits reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines. File is tagged Server-only, so not copied to client package."
Laser Bridges & Doors ,Server & Client,Mod,Log Error,,,https://www.curseforge.com/minecraft/mc-mods/laser-bridges-doors/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,Rejected: log error,Moved to mods.failed/row168_laser_bridges/laserbridges-26.1.2-neoforge-5.4.jar + deimos-26.1.2-neoforge-2.6.1.jar,Not included,2026-06-03,CurseForge stable release file 7914957; dependency Deimos Lib 8124492,Boot test row168_laser_bridges reached Done but logged the same invalid recipe resource '#minecraft:metal_nuggets ' parse failure seen with Fire Arrows/Deimos. Removed from active mods and quarantined.
LaserIO,Server & Client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/laserio/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,laserio-1.10.2.jar,Included,2026-06-03,CurseForge stable release file 8030110,Boot test row169_laserio reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines. Copied to client package.
Lio's Hobbit Hill Village,Server & Client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/hobbit-hill-village/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,hobbit_hill_village-0.0.4.jar,Included,2026-06-03,CurseForge stable release file 7814267,"Boot test row170_hobbit_hill reached Done and stopped cleanly. Known Advanced Chimneys optional WARN lines observed; one external handshake decode exception from /213.152.161.54 was unrelated network noise during test. No server-only metadata found, so copied to client package."
Lio's Overhauled Villages,Server & Client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/lios-overhauled-villages/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,lios_overhauled_villages-0.1.1.jar,Included,2026-06-03,CurseForge stable release file 7814363,"Boot test row171_lios_overhauled reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines. No server-only metadata found, so copied to client package."
Lio's Spiral Tower Villages,Server & Client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/spiral-tower-villages/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,spiral_tower_village-0.0.3.jar,Included,2026-06-03,CurseForge stable release file 7814289,"Boot test row172_spiral_tower reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines. No server-only metadata found, so copied to client package."
Lios Seafaring Dungeons,Server & Client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/lios-seafaring-dungeons/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,lios_seafaring_dungeons-0.0.6.jar,Included,2026-06-03,CurseForge stable release file 7814016,"Boot test row173_lios_seafaring reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines. No server-only metadata found, so copied to client package."
Little Logistics,Skipped,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/little-logistics/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,Skipped: no compatible stable release,,Not included,2026-06-03,CurseForge project 570050,CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
Living Things,Skipped,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/living-things/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,Skipped: no compatible stable release,,Not included,2026-06-03,CurseForge project 397252,CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
Luki's Grand Capitals,Skipped,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/lukis-grand-capitals/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,Skipped: no compatible stable release,,Not included,2026-06-03,CurseForge project 1003666,CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
LUMINOUS: MONSTERS,Skipped,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/luminous-monsters/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,Skipped: no compatible stable release,,Not included,2026-06-03,CurseForge project 1066090,CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
Macaw's Biomes O' Plenty,Skipped,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/macaws-biomes-o-plenty/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,Skipped: no compatible stable release,,Not included,2026-06-03,CurseForge project 533382,CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
Macaw's Biomes O' Plenty,Skipped,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/macaws-biomes-o-plenty/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,Skipped: no compatible stable release,,Not included,2026-06-03,CurseForge project 533382,Duplicate tracker row. CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
Macaw's Bridges,Server & Client,Mod,OK,,Retested 2026-06-03,https://www.curseforge.com/minecraft/mc-mods/macaws-bridges/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,mcw-bridges-3.1.2-mc26.1neoforge.jar,Included,2026-06-03,CurseForge stable release file 7809923,Retested latest compatible release on 2026-06-03. Boot reached Done; final_all_accepted passed with this jar active. Earlier rejection corrected after review: only nonfatal StructureTemplate serialization warning remained after filtering known Advanced Chimneys optional warnings.
Macaw's Fences and Walls,Server & Client,Mod,OK,,Retested 2026-06-03,https://www.curseforge.com/minecraft/mc-mods/macaws-fences-and-walls/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,mcw-fences-1.2.1-mc26.1neoforge.jar,Included,2026-06-03,CurseForge stable release file 7809939,Retested latest compatible release on 2026-06-03. Boot reached Done; final_all_accepted passed with this jar active. Previous registry/loading failure did not reproduce on the current fresh-world test.
Macaw's Furniture,Server & Client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/macaws-furniture/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,mcw-furniture-3.4.2-mc26.1neoforge.jar,Included,2026-06-03,CurseForge stable release file 7809936,"Boot test row182_macaws_furniture reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines. No server-only metadata found, so copied to client package."
Macaw's Lights and Lamps,Server & Client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/macaws-lights-and-lamps/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,mcw-lights-1.1.5-mc26.1neoforge.jar,Included,2026-06-03,CurseForge stable release file 7809968,"Boot test row183_macaws_lights reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines. No server-only metadata found, so copied to client package."
Macaw's Roofs,Server & Client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/macaws-roofs/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,mcw-roofs-2.3.2-mc26.1neoforge.jar,Included,2026-06-03,CurseForge stable release file 7809972,"Boot test row184_macaws_roofs passed previously. Requested again 2026-06-03; already active and in client package, no duplicate row added."
Macaw's Stairs,Server & Client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/macaws-stairs/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,mcw-stairs-1.0.2-mc26.1neoforge.jar,Included,2026-06-03,CurseForge stable release file 7809966,"Boot test row185_macaws_stairs reached Done and stopped cleanly. Extracted error list only had known Advanced Chimneys optional WARN lines; non-fatal Lithostitched jigsaw WARN lines appeared during worldgen. No server-only metadata found, so copied to client package."
Macaw's Windows,Server & Client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/macaws-windows/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,mcw-windows-2.4.2-mc26.1neoforge.jar,Included,2026-06-03,CurseForge stable release file 7809964,"Boot test row186_macaws_windows passed previously. Requested again 2026-06-03; already active and in client package, no duplicate row added."
Macaw's Windows,Server & Client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/macaws-windows/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,mcw-windows-2.4.2-mc26.1neoforge.jar,Included,2026-06-03,Duplicate of row 186; CurseForge stable release file 7809964,"Duplicate tracker row for Macaw's Windows. Requested again 2026-06-03; same jar as row 186, no new install needed."
Man of Many Planes,Skipped,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/man-of-many-planes/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,Skipped: no compatible stable release,,Not included,2026-06-03,CurseForge project 984493,CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
Man of Many Planes,Skipped,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/man-of-many-planes/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,Skipped: no compatible stable release,,Not included,2026-06-03,Duplicate of row 188; CurseForge project 984493,Duplicate tracker row. CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
Maple,Server & Client,Mod,Log Error,,,https://www.curseforge.com/minecraft/mc-mods/maple/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,Rejected: data/loot parse errors,mods.failed/row190_maple_relaxed/Maple-1.5.4-26.1.2-NeoForge.jar,Not included,2026-06-03,CurseForge stable file 7972409; beta TerraBlender dependency now installed,"TerraBlender fixed the previous missing-class crash, but row190_maple_relaxed logged missing tags, invalid recipes/advancements, and legacy Forge global_loot_modifiers parse errors. Quarantined and not included."
Medieval Buildings,Server & Client,Mod,Log Error,,,https://www.curseforge.com/minecraft/mc-mods/medieval-buildings/files/all?page=1&pageSize=20,26.1.2,Rejected: datapack/tag error,Moved to mods.failed/row191_medieval_buildings/medieval_buildings-neoforge-26.1.2-1.2.0.jar + medieval_end-neoforge-26.1.2-1.2.0.jar + medieval_nether-neoforge-26.1.2-1.2.1.jar,Not included,2026-06-03,CurseForge stable release file 7956240; dependencies 7956268 and 7956951,Boot test row191_medieval_buildings reached Done but logged a real TagLoader ERROR: minecraft:load missing medieval_end:load. Removed all three required Medieval jars from active mods and quarantined them.
Medieval Buildings - New Structures!,Server & Client,Mod,Log Error,,,https://www.curseforge.com/minecraft/mc-mods/medieval-buildings/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,Rejected: duplicate of failed row 191,Moved to mods.failed/row191_medieval_buildings/medieval_buildings-neoforge-26.1.2-1.2.0.jar + dependencies,Not included,2026-06-03,Duplicate of row 191; CurseForge stable release file 7956240,Duplicate tracker row. Same Medieval Buildings file and dependency set was tested in row191_medieval_buildings and rejected because it logged the minecraft:load missing medieval_end:load TagLoader ERROR.
Medieval Castle,Skipped,World/Map,Skip,,,https://www.curseforge.com/minecraft/worlds/medieval-castle-updated/files/all?page=1&pageSize=20,26.1.2,Skipped: not a server mod,,Not included,2026-06-03,CurseForge world/map URL,"The URL points to a CurseForge world/map project, not a mod jar. Per instructions, skipped non-mod tracker rows."
MineColonies,Skipped,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/minecolonies/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,Skipped: no compatible stable release,,Not included,2026-06-03,CurseForge project 245506,"MineColonies has no NeoForge files for Minecraft 26.1.2 or 26.1. Current stable NeoForge files are for the 1.21/1.21.1 line, so skipped."
Miner's Helmet,Server & Client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/miners-helmet/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,mining_helmet-26.1.2-2.1.3.jar,Included,2026-06-03,CurseForge stable release file 8024587; Lucent relation type 2 treated as optional after boot test,"Recovered in broad relaxed scan. Lucent has no compatible 26.x NeoForge file, but Miner's Helmet booted without it; row195_minershelmet_relaxed reached Done with only baseline optional warnings and was included in the Mac client package."
Miner's Helmet,Skipped,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/miners-helmet/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,Skipped: duplicate missing stable dependency,,Not included,2026-06-03,Duplicate of row 195; CurseForge stable release file 8024587,Duplicate tracker row. Same Miner’s Helmet file is blocked because required dependency Lucent has no stable NeoForge file for 26.1.2 or 26.1.
MMV - Moog's Missing Villages,Server Only,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/mmv-moogs-missing-villages/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,MoogsMissingVillages-1.21-2.1.1.jar + moogs_structure_lib-2.0.1-26.1.0-26.1.2.jar,Server-only,2026-06-03,CurseForge stable release file 8164652; dependency Moog's Structure Lib 7921038,Initial boot failed because mmv requires moogs_structures. Added stable server-side Moog's Structure Lib and retested row197_mmv_with_dep; server reached Done and stopped cleanly with only known Advanced Chimneys optional WARN lines. Not copied to client package because both files are server-side.
Mo' Than Enough Guns,Skipped,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/mo-than-enough-guns/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,Skipped: no compatible stable release,,Not included,2026-06-03,CurseForge project 978748,CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
MOA DECOR: BATH,Skipped,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/moa-decor-bath/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,Skipped: no compatible stable release,,Not included,2026-06-03,CurseForge project 853639,CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
More Cat Variants,Skipped,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/morecatvariants/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,Skipped: no compatible stable release,,Not included,2026-06-03,CurseForge project 1313031,CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
more ships,Skipped,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/more-ships/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,Skipped: no compatible stable release,,Not included,2026-06-03,CurseForge project 466978,CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
more underground structures,Skipped,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/more-underground-structures/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,Skipped: no compatible stable release,,Not included,2026-06-03,CurseForge project 476662,CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
More Villagers,Server & Client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/more-villagers/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,morevillagers-neoforge-8.0.0+26.1.1.jar,Included,2026-06-03,CurseForge stable release file 7885143,"Boot test row203_more_villagers reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines plus unrelated external handshake noise. Jar metadata declares side=BOTH, so copied to client package."
Move Boats,Server & Client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/move-boats/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,moveboats-26.1.2-3.6.jar,Included,2026-06-03,CurseForge stable release file 7902047; existing Collective 8021353,"Boot test row204_move_boats reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines. Existing Collective dependency already installed. Jar metadata declares side=BOTH, so copied to client package."
Move Minecarts,Server & Client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/move-minecarts/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,moveminecarts-26.1.2-3.8.jar,Included,2026-06-03,CurseForge stable release file 7902044; existing Collective 8021353,"Boot test row205_move_minecarts reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines. Existing Collective dependency already installed. Jar metadata declares side=BOTH, so copied to client package."
MrCrayfish's Furniture Mod: Refurbished,Server & Client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/refurbished-furniture/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,refurbished_furniture-neoforge-26.1.2-1.0.23.jar + catalogue-neoforge-26.1.2-1.12.3.jar + configured-neoforge-26.1.2-2.7.5.jar,Included,2026-06-03,CurseForge stable release file 7943178; dependencies Catalogue 7943161 and Configured 7943180; existing Framework 7964506,"Boot test row206_refurbished_furniture reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines. All new jars declare side=BOTH, so copied to client package."
MrCrayfish's Furniture Mod: Refurbished,Server & Client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/refurbished-furniture/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,refurbished_furniture-neoforge-26.1.2-1.0.23.jar + dependencies,Included,2026-06-03,Duplicate of row 206; CurseForge stable release file 7943178,"Duplicate tracker row. Same Refurbished Furniture file and dependency set was installed, boot-tested in row206_refurbished_furniture, and copied to the client package."
MVS - Moog's Voyager Structures,Server Only,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/moogs-voyager-structures/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,MoogsVoyagerStructures-1.21-5.0.11.jar + existing moogs_structure_lib-2.0.1-26.1.0-26.1.2.jar,Server-only,2026-06-03,CurseForge stable release file 8128022; existing dependency Moog's Structure Lib 7921038,"Boot test row208_mvs reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines. Non-fatal Lithostitched jigsaw WARN line appeared during worldgen. Project is tagged Server, so not copied to client package."
MVS - Moog's Voyager Structures,Server Only,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/moogs-voyager-structures/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,MoogsVoyagerStructures-1.21-5.0.11.jar + existing dependency,Server-only,2026-06-03,Duplicate of row 208; CurseForge stable release file 8128022,"Duplicate tracker row. Same Voyager Structures file was installed and boot-tested in row208_mvs. Project is tagged Server, so no client package copy."
Natural Decor Mod,Skipped,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/natural-decor-mod/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,Skipped: no compatible stable release,,Not included,2026-06-03,CurseForge project 375573,CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
Nebulus' Cherryblossom Tree,Skipped,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/nebulus-cherryblossom-tree/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,Skipped: no compatible stable release,,Not included,2026-06-03,CurseForge project 988533,CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
New Cherry Blossom Panorama BC,Client Only,Client Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/new-cherry-blossom-panorama-mod/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,Client-only: included,new-1.20-background-v1.1.jar,Included,2026-06-03,CurseForge stable release file 7023654,Client-only panorama/background mod. Not installed on the server; copied directly to client-package/mods because the stable file is tagged compatible with NeoForge and Minecraft 26.1.2.
Night Lights,Skipped,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/nightlights/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,Skipped: no compatible stable release,,Not included,2026-06-03,CurseForge project 651876,CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
No Animal Tempt Delay,Server & Client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/no-animal-tempt-delay/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,noanimaltemptdelay-26.1.2-1.2.jar,Included,2026-06-03,CurseForge stable release file 7902021; existing Collective 8021353,"Boot test row214_no_animal_tempt_delay reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines. Existing Collective dependency already installed. Jar metadata declares side=BOTH, so copied to client package."
Nosiphus Furniture Mod,Skipped,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/nosiphus-furniture-mod/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,Skipped: no compatible stable release,,Not included,2026-06-03,CurseForge project 593876,CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
Nutritious Milk,Server & Client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/nutritious-milk/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,nutritiousmilk-26.1.2-3.5.jar,Included,2026-06-03,CurseForge stable release file 7902004; existing Collective 8021353,"Boot test row216_nutritious_milk reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines. Existing Collective dependency already installed. Jar metadata declares side=BOTH, so copied to client package."
Ocean's Delight,Skipped,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/oceans-delight/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,Skipped: no compatible stable release,,Not included,2026-06-03,CurseForge project 841262,CurseForge API returned no stable NeoForge files for Minecraft 26.1.2 or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
Old Fallen Castle - Medieval Castle,Skipped,World/Map,Skip,,,https://www.curseforge.com/minecraft/worlds/old-fallen-castle/files/all?page=1&pageSize=20,26.1.2,Skipped: not a server mod,,Not included,2026-06-03,CurseForge world/map URL,"The URL points to a CurseForge world/map project, not a mod jar. Per instructions, skipped non-mod tracker rows."
Ore Harvester,Server & Client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/ore-harvester/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,oreharvester-26.1.2-1.6.jar,Included,2026-06-03,CurseForge stable release file 8023281; existing Collective 8021353,"Boot test row219_ore_harvester reached Done and stopped cleanly; only known Advanced Chimneys optional WARN lines plus non-fatal Lithostitched worldgen warnings. Existing Collective dependency already installed. Jar metadata declares side=BOTH, so copied to client package."
Ore Harvester,Server & Client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/ore-harvester/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,oreharvester-26.1.2-1.6.jar,Included,2026-06-03,Duplicate of row 219; CurseForge stable release file 8023281,Duplicate of row 219. Uses the same tested server jar and client package copy.
